rowid,kepid,kepoi_name,kepler_name,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
2038,8890150,K02650.01,Kepler-395 c,34.9897847,0.020074,4.19621,1.14,0.1691,292.0,1.71,64.76,2,3765.0,4.725,0.02,0.521,0.526
4688,6497146,K03284.01,Kepler-438 b,35.2330694,0.016941,6.12686,0.97,0.1729,288.0,1.62,73.8,1,3749.0,4.743,0.16,0.524,0.554
7542,9480398,K07179.01,,407.14656,0.008994,0.08531,1.18,1.0765,272.0,1.29,90.8,1,5845.0,4.282,0.02,1.198,1.001
2617,3642335,K03010.01,Kepler-1410 b,60.8660974,0.024307,6.48899,1.39,0.2465,244.0,0.84,108.315,1,3808.0,4.734,-0.02,0.522,0.539
4649,4138008,K04742.01,Kepler-442 b,112.303136,0.020068,4.53694,1.3,0.3874,241.0,0.79,144.6,1,4401.0,4.677,-0.38,0.595,0.613
3217,8845205,K00463.01,Kepler-560 b,18.47762694,0.050013,9.8259,1.55,0.0887,267.0,1.21,56.2,1,3395.0,4.97,-0.12,0.283,0.271
4110,5977470,K04550.01,,140.251943,0.021342,3.7841,1.84,0.4836,271.0,1.28,157.9,1,4821.0,4.529,0.16,0.788,0.765
3413,9002278,K00701.03,Kepler-62 e,122.3858681,0.023749,3.01939,1.72,0.4324,269.0,1.24,133.71,5,4926.0,4.6530000000000005,-0.36,0.662,0.727
3694,11415243,K04036.01,Kepler-1544 b,168.81133,0.021852,5.27578,1.69,0.5459,241.0,0.8,199.6,1,4798.0,4.62,0.0,0.707,0.771
8668,6209225,K06676.01,,439.21978,0.017205,4.15804,1.81,1.1379,266.0,1.18,348.7,1,6553.0,4.479,-0.64,0.962,1.017
3070,12302530,K00438.02,Kepler-155 c,52.6615266,0.031827,6.534730000000001,1.87,0.2262,271.0,1.28,98.6,2,3984.0,4.72,-0.22,0.539,0.557
87,4139816,K00812.03,Kepler-235 e,46.1842039,0.033974000000000004,3.99779,1.83,0.2005,273.0,1.32,76.67,4,3950.0,4.754,-0.46,0.493,0.502
3844,8463346,K02529.02,Kepler-436 b,64.0019669,0.032595,2.22778,2.48,0.2826,322.0,2.55,78.4,2,4652.0,4.617,0.02,0.697,0.734
8295,4862924,K07554.01,,482.62011,0.016595,1.9193799999999999,1.98,1.2328,263.0,1.12,287.0,1,6315.0,4.388999999999999,-0.16,1.095,1.066
6196,6067545,K05236.01,,550.86514,0.016926,1.5852,2.06,1.3399,238.0,0.76,294.1,1,5912.0,4.367,0.1,1.115,1.056
4687,12066569,K03282.01,Kepler-1455 b,49.2768448,0.030272000000000004,8.36473,1.75,0.2126,271.0,1.28,102.4,1,3899.0,4.713,-0.2,0.529,0.528
1276,8692861,K00172.02,Kepler-69 c,242.467406,0.016782,0.9792299999999999,1.73,0.7106,286.0,1.59,144.9,2,5637.0,4.399,-0.3,0.943,0.813
4287,7429240,K04450.01,Kepler-1606 b,196.436796,0.022558,2.8272,2.33,0.6446,292.0,1.72,179.3,1,5462.0,4.452,0.16,0.946,0.924
3688,3747817,K04103.01,Kepler-1552 b,184.77271,0.027576,1.92603,2.41,0.6045,268.0,1.21,151.5,2,5273.0,4.566,0.0,0.801,0.861
3738,6428794,K04054.01,,169.135056,0.025256,0.67276,2.21,0.5608,273.0,1.31,100.6,1,5171.0,4.545,0.0,0.801,0.82
6094,5793275,K05202.01,,535.93723,0.017502,1.52135,1.83,1.3107,227.0,0.63,285.0,1,6014.0,4.494,-0.08,0.958,1.043
8321,8096395,K07587.01,,366.088938,0.024943,0.24063,2.57,0.9845,257.0,1.03,119.5,1,5941.0,4.4639999999999995,-0.24,0.945,0.948
1564,9758089,K01871.01,,92.7297248,0.038187,0.49438000000000004,2.81,0.3608,276.0,1.38,60.8,2,4580.0,4.641,0.08,0.675,0.748
3109,10593626,K00087.01,Kepler-22 b,289.864067,0.024234000000000002,1.00734,2.34,0.7961,257.0,1.03,164.8,1,5516.0,4.446000000000001,-0.26,0.886,0.799
4668,11757451,K04745.01,Kepler-443 b,177.668663,0.030352999999999998,0.5908899999999999,2.32,0.5594,233.0,0.7,99.5,1,4721.0,4.615,-0.02,0.701,0.74
1577,9349482,K02020.01,Kepler-1058 b,110.9643706,0.035366,0.17592,2.11,0.3679,239.0,0.77,48.6,1,4441.0,4.695,-0.86,0.546,0.538
9177,9757613,K00250.04,Kepler-26 e,46.82767725,0.036335,50.491240000000005,2.13,0.2068,276.0,1.37,180.2,4,3879.0,4.708,-0.12,0.537,0.537
170,6435936,K00854.01,Kepler-705 b,56.0560754,0.036134,5.11354,1.94,0.228,233.0,0.69,94.7,1,3593.0,4.757,0.26,0.491,0.503
663,6960913,K01361.01,Kepler-61 b,59.8780258,0.033448,5.0319,2.19,0.2522,273.0,1.31,98.43,1,4016.0,4.658,0.02,0.599,0.595
8081,3548622,K06343.01,,569.45051,0.018909,5.68938,1.96,1.3564,225.0,0.61,460.0,1,6117.0,4.496,-0.22,0.947,1.025
1586,11622600,K01876.01,Kepler-991 b,82.5341188,0.038637,6.802630000000001,2.45,0.3104,260.0,1.08,134.8,1,4316.0,4.678,-0.44,0.58,0.584
7720,11671646,K07470.01,,392.50115,0.017596,3.4468199999999998,1.9,1.0021,225.0,0.6,303.9,1,5128.0,4.388,0.46,0.988,0.87
5906,6368905,K05276.01,,220.720142,0.026362,3.60181,2.0,0.6529,235.0,0.72,210.1,1,5150.0,4.6339999999999995,-0.34,0.696,0.77
8423,10586619,K07345.01,,377.501257,0.021072,1.96796,2.16,1.0357,242.0,0.81,245.7,1,5751.0,4.508,0.14,0.94,1.038
5723,5938970,K04016.01,Kepler-1540 b,125.4132302,0.038446,21.59093,3.14,0.4426,266.0,1.18,262.0,1,4641.0,4.5569999999999995,0.16,0.747,0.734
2566,5609593,K02834.01,Kepler-1362 b,136.205112,0.031899000000000004,4.9800699999999996,2.35,0.4626,248.0,0.89,169.7,1,4648.0,4.631,-0.1,0.675,0.711
4327,8652577,K04458.01,,358.818895,0.026494999999999998,43.979,2.66,0.9572,262.0,1.11,669.0,1,6056.0,4.47,-0.46,0.918,0.908
5660,8142787,K04005.01,Kepler-439 b,178.139072,0.023396,1.7856400000000001,2.25,0.5948,291.0,1.7,144.15,1,5431.0,4.496,0.02,0.879,0.881
8100,6590726,K06734.01,,498.27269,0.020824000000000002,6.27252,2.12,1.2449,214.0,0.5,435.0,1,5618.0,4.513999999999999,0.26,0.932,1.033
8173,9150870,K07136.01,,441.17369,0.024204,1.0578100000000001,2.27,1.1175,217.0,0.52,222.0,1,5610.0,4.551,0.0,0.858,0.953
5741,8636434,K03946.01,Kepler-1533 b,308.544422,0.022233000000000003,0.43856999999999996,3.28,0.9625,330.0,2.81,130.198,1,6325.0,4.274,0.14,1.349,1.252
7485,8442795,K07040.01,,502.20642,0.027256,0.14869000000000002,2.18,1.1522,212.0,0.48,125.6,1,6018.0,4.615,-0.98,0.733,0.807
1550,10027323,K01596.02,Kepler-309 c,105.3582299,0.034493,5.81276,1.87,0.351,204.0,0.41,150.5,2,3883.0,4.762,-0.28,0.496,0.518
4115,11284772,K04622.01,Kepler-441 b,207.24785,0.025838999999999997,7.5723199999999995,1.56,0.5697,189.0,0.3,258.1,2,4339.0,4.711,-0.58,0.553,0.573
2329,10917043,K02770.01,,205.385912,0.030926,2.90062,2.11,0.5898,200.0,0.38,186.32,1,4400.0,4.659,-0.2,0.624,0.646
3795,8120608,K00571.05,Kepler-186 f,129.945392,0.024432,0.59814,1.18,0.3855,177.0,0.23,81.1,5,3751.0,4.8,-0.34,0.443,0.452
3273,8017703,K00518.03,Kepler-174 d,247.354914,0.032169,3.5026300000000004,2.29,0.6639,212.0,0.48,224.6,3,4859.0,4.615,-0.52,0.651,0.636
3829,8459663,K04356.01,Kepler-1593 b,174.510276,0.035188,5.45009,1.74,0.4836,186.0,0.28,206.3,1,4367.0,4.822,-1.46,0.452,0.496
631,10002261,K00959.01,,12.713794177,0.182308,9.24825,2.31,0.0485,181.0,0.26,42.91,1,2661.0,5.2829999999999995,0.0,0.116,0.094
5831,11497958,K01422.05,Kepler-296 e,34.1420506,0.025353,11.962060000000001,1.06,0.151,248.0,0.89,90.33,5,3526.0,4.8660000000000005,-0.08,0.383,0.394
7934,9821428,K07235.01,,299.70688,0.013829,0.7071,1.15,0.8252,237.0,0.75,149.7,1,5606.0,4.5969999999999995,-0.4,0.76,0.832
2257,11768142,K02626.01,,38.0970717,0.03645,0.27308000000000004,1.58,0.1667,242.0,0.81,27.6,1,3554.0,4.867,-0.04,0.398,0.426
7731,4567118,K06425.01,,521.10826,0.014478,0.6145,1.5,1.2173,231.0,0.68,206.6,1,5942.0,4.4319999999999995,-0.4,0.947,0.884
9160,8311864,K07016.01,Kepler-452 b,384.847556,0.012491,3.3828300000000002,1.09,0.994,220.0,0.56,298.1,1,5579.0,4.58,-0.22,0.798,0.892
8594,9674320,K07223.01,,317.062416,0.020361,2.93522,1.59,0.8404,218.0,0.54,249.9,1,5366.0,4.625,-0.4,0.715,0.793
6241,9002278,K00701.04,Kepler-62 f,267.282521,0.019731,4.05503,1.43,0.7279,207.0,0.44,248.3,5,4926.0,4.6530000000000005,-0.36,0.662,0.727
5835,6444896,K03138.01,Kepler-1649 b,8.68910764,0.038216,52.008959999999995,0.49,0.0378,211.0,0.47,59.2,2,2703.0,5.274,0.0,0.118,0.096
4522,11497958,K01422.04,Kepler-296 f,63.3354719,0.028277999999999998,11.9174,1.18,0.2279,202.0,0.39,136.2,5,3526.0,4.8660000000000005,-0.08,0.383,0.394
3626,6106282,K04087.01,Kepler-440 b,101.1107014,0.026318,1.77604,1.61,0.3548,229.0,0.65,98.64,1,4133.0,4.705,-0.3,0.561,0.578
2024,10027247,K02418.01,Kepler-1229 b,86.829519,0.0332,0.11306,1.68,0.3013,196.0,0.35,35.6,1,3576.0,4.791,0.16,0.463,0.482
8324,8297319,K07591.01,,328.32211,0.017786,1.1567399999999999,1.3,0.8367,193.0,0.33,187.5,1,4906.0,4.648,-0.32,0.668,0.736
4649,4138008,K04742.01,Kepler-442 b,112.303136,0.020068,4.53694,1.3,0.3874,241.0,0.79,144.6,1,4401.0,4.677,-0.38,0.595,0.613
2024,10027247,K02418.01,Kepler-1229 b,86.829519,0.0332,0.11306,1.68,0.3013,196.0,0.35,35.6,1,3576.0,4.791,0.16,0.463,0.482
6241,9002278,K00701.04,Kepler-62 f,267.282521,0.019731,4.05503,1.43,0.7279,207.0,0.44,248.3,5,4926.0,4.6530000000000005,-0.36,0.662,0.727
3795,8120608,K00571.05,Kepler-186 f,129.945392,0.024432,0.59814,1.18,0.3855,177.0,0.23,81.1,5,3751.0,4.8,-0.34,0.443,0.452
4688,6497146,K03284.01,Kepler-438 b,35.2330694,0.016941,6.12686,0.97,0.1729,288.0,1.62,73.8,1,3749.0,4.743,0.16,0.524,0.554
3413,9002278,K00701.03,Kepler-62 e,122.3858681,0.023749,3.01939,1.72,0.4324,269.0,1.24,133.71,5,4926.0,4.6530000000000005,-0.36,0.662,0.727
3694,11415243,K04036.01,Kepler-1544 b,168.81133,0.021852,5.27578,1.69,0.5459,241.0,0.8,199.6,1,4798.0,4.62,0.0,0.707,0.771
9222,10604335,K01298.02,Kepler-283 c,92.7495777,0.029388,5.1101,1.87,0.3378,240.0,0.78,132.45,2,4141.0,4.684,-0.2,0.582,0.596
2617,3642335,K03010.01,Kepler-1410 b,60.8660974,0.024307,6.48899,1.39,0.2465,244.0,0.84,108.315,1,3808.0,4.734,-0.02,0.522,0.539
170,6435936,K00854.01,Kepler-705 b,56.0560754,0.036134,5.11354,1.94,0.228,233.0,0.69,94.7,1,3593.0,4.757,0.26,0.491,0.503
4287,7429240,K04450.01,Kepler-1606 b,196.436796,0.022558,2.8272,2.33,0.6446,292.0,1.72,179.3,1,5462.0,4.452,0.16,0.946,0.924
5270,8505920,K02094.02,Kepler-1090 b,198.680859,0.025241999999999997,1.02716,2.79,0.6364,297.0,1.83,128.9,2,5330.0,4.3660000000000005,0.18,1.013,0.869
3688,3747817,K04103.01,Kepler-1552 b,184.77271,0.027576,1.92603,2.41,0.6045,268.0,1.21,151.5,2,5273.0,4.566,0.0,0.801,0.861
5723,5938970,K04016.01,Kepler-1540 b,125.4132302,0.038446,21.59093,3.14,0.4426,266.0,1.18,262.0,1,4641.0,4.5569999999999995,0.16,0.747,0.734
689,11176127,K01430.03,Kepler-298 d,77.4740991,0.039418,3.2492799999999997,2.63,0.3078,277.0,1.4,101.0,3,4463.0,4.677,-0.24,0.611,0.662
3853,4172805,K04427.01,,147.661729,0.029669,5.6857,1.59,0.4401,176.0,0.23,187.1,1,3788.0,4.774,-0.1,0.49,0.52
7281,7219825,K00238.03,,362.97828,0.014787999999999999,1.1404100000000001,1.96,1.0009,296.0,1.81,199.5,3,6086.0,4.274,-0.16,1.216,1.013
3070,12302530,K00438.02,Kepler-155 c,52.6615266,0.031827,6.534730000000001,1.87,0.2262,271.0,1.28,98.6,2,3984.0,4.72,-0.22,0.539,0.557
3217,8845205,K00463.01,Kepler-560 b,18.47762694,0.050013,9.8259,1.55,0.0887,267.0,1.21,56.2,1,3395.0,4.97,-0.12,0.283,0.271
3057,3966801,K00494.01,Kepler-577 b,25.69581456,0.032548,1.56084,1.7,0.1348,314.0,2.3,37.9,1,3787.0,4.775,-0.22,0.477,0.496
3795,8120608,K00571.05,Kepler-186 f,129.945392,0.024432,0.59814,1.18,0.3855,177.0,0.23,81.1,5,3751.0,4.8,-0.34,0.443,0.452
3413,9002278,K00701.03,Kepler-62 e,122.3858681,0.023749,3.01939,1.72,0.4324,269.0,1.24,133.71,5,4926.0,4.6530000000000005,-0.36,0.662,0.727
6241,9002278,K00701.04,Kepler-62 f,267.282521,0.019731,4.05503,1.43,0.7279,207.0,0.44,248.3,5,4926.0,4.6530000000000005,-0.36,0.662,0.727
87,4139816,K00812.03,Kepler-235 e,46.1842039,0.033974000000000004,3.99779,1.83,0.2005,273.0,1.32,76.67,4,3950.0,4.754,-0.46,0.493,0.502
170,6435936,K00854.01,Kepler-705 b,56.0560754,0.036134,5.11354,1.94,0.228,233.0,0.69,94.7,1,3593.0,4.757,0.26,0.491,0.503
560,9710326,K00947.01,Kepler-737 b,28.59914031,0.036375,5.49136,1.83,0.1422,298.0,1.87,61.92,1,3755.0,4.781000000000001,-0.26,0.461,0.47
532,10166274,K01078.03,Kepler-267 d,28.46464804,0.037174,14.11665,1.87,0.1415,301.0,1.95,84.56,3,3789.0,4.781000000000001,-0.34,0.46,0.467
9222,10604335,K01298.02,Kepler-283 c,92.7495777,0.029388,5.1101,1.87,0.3378,240.0,0.78,132.45,2,4141.0,4.684,-0.2,0.582,0.596
4541,8874090,K01404.02,,18.9060921,0.017734,2.39508,0.87,0.1088,336.0,3.03,35.6,2,3751.0,4.813,-0.24,0.45,0.479
973,11497958,K01422.02,Kepler-296 d,19.85029495,0.036351999999999995,7.60188,1.52,0.1052,297.0,1.83,54.1,5,3526.0,4.8660000000000005,-0.08,0.383,0.394
4522,11497958,K01422.04,Kepler-296 f,63.3354719,0.028277999999999998,11.9174,1.18,0.2279,202.0,0.39,136.2,5,3526.0,4.8660000000000005,-0.08,0.383,0.394
5831,11497958,K01422.05,Kepler-296 e,34.1420506,0.025353,11.962060000000001,1.06,0.151,248.0,0.89,90.33,5,3526.0,4.8660000000000005,-0.08,0.383,0.394
1550,10027323,K01596.02,Kepler-309 c,105.3582299,0.034493,5.81276,1.87,0.351,204.0,0.41,150.5,2,3883.0,4.762,-0.28,0.496,0.518
5545,9205938,K02162.02,,199.66876,0.014438,2.4075,1.45,0.6193,305.0,2.06,171.8,2,5678.0,4.409,-0.4,0.921,0.794
9540,12885212,K02184.02,,95.906433,0.027054,7.328930000000001,2.17,0.3684,288.0,1.63,152.7,2,4620.0,4.564,0.12,0.736,0.723
2024,10027247,K02418.01,Kepler-1229 b,86.829519,0.0332,0.11306,1.68,0.3013,196.0,0.35,35.6,1,3576.0,4.791,0.16,0.463,0.482
2257,11768142,K02626.01,,38.0970717,0.03645,0.27308000000000004,1.58,0.1667,242.0,0.81,27.6,1,3554.0,4.867,-0.04,0.398,0.426
2038,8890150,K02650.01,Kepler-395 c,34.9897847,0.020074,4.19621,1.14,0.1691,292.0,1.71,64.76,2,3765.0,4.725,0.02,0.521,0.526
8348,5184911,K02719.02,,106.25976,0.016656,3.8874800000000005,1.5,0.4071,303.0,1.99,132.4,2,4827.0,4.508,0.32,0.823,0.796
2617,3642335,K03010.01,Kepler-1410 b,60.8660974,0.024307,6.48899,1.39,0.2465,244.0,0.84,108.315,1,3808.0,4.734,-0.02,0.522,0.539
2723,2973386,K03034.01,,31.0209175,0.031742,4.9825800000000005,1.66,0.1522,291.0,1.7,63.3,1,3720.0,4.763999999999999,-0.1,0.48,0.488
5835,6444896,K03138.01,Kepler-1649 b,8.68910764,0.038216,52.008959999999995,0.49,0.0378,211.0,0.47,59.2,2,2703.0,5.274,0.0,0.118,0.096
4687,12066569,K03282.01,Kepler-1455 b,49.2768448,0.030272000000000004,8.36473,1.75,0.2126,271.0,1.28,102.4,1,3899.0,4.713,-0.2,0.529,0.528
4688,6497146,K03284.01,Kepler-438 b,35.2330694,0.016941,6.12686,0.97,0.1729,288.0,1.62,73.8,1,3749.0,4.743,0.16,0.524,0.554
5063,8424002,K03497.01,Kepler-1512 b,20.35971899,0.021227,1.4014,0.8,0.1025,276.0,1.38,31.3,1,3419.0,4.904,0.04,0.344,0.346
5660,8142787,K04005.01,Kepler-439 b,178.139072,0.023396,1.7856400000000001,2.25,0.5948,291.0,1.7,144.15,1,5431.0,4.496,0.02,0.879,0.881
3694,11415243,K04036.01,Kepler-1544 b,168.81133,0.021852,5.27578,1.69,0.5459,241.0,0.8,199.6,1,4798.0,4.62,0.0,0.707,0.771
3626,6106282,K04087.01,Kepler-440 b,101.1107014,0.026318,1.77604,1.61,0.3548,229.0,0.65,98.64,1,4133.0,4.705,-0.3,0.561,0.578
3829,8459663,K04356.01,Kepler-1593 b,174.510276,0.035188,5.45009,1.74,0.4836,186.0,0.28,206.3,1,4367.0,4.822,-1.46,0.452,0.496
3853,4172805,K04427.01,,147.661729,0.029669,5.6857,1.59,0.4401,176.0,0.23,187.1,1,3788.0,4.774,-0.1,0.49,0.52
4329,9947389,K04460.01,,284.727213,0.017149,1.98698,2.02,0.8224,278.0,1.41,204.2,1,5497.0,4.332,0.14,1.08,0.913
4110,5977470,K04550.01,,140.251943,0.021342,3.7841,1.84,0.4836,271.0,1.28,157.9,1,4821.0,4.529,0.16,0.788,0.765
4115,11284772,K04622.01,Kepler-441 b,207.24785,0.025838999999999997,7.5723199999999995,1.56,0.5697,189.0,0.3,258.1,2,4339.0,4.711,-0.58,0.553,0.573
4649,4138008,K04742.01,Kepler-442 b,112.303136,0.020068,4.53694,1.3,0.3874,241.0,0.79,144.6,1,4401.0,4.677,-0.38,0.595,0.613
9160,8311864,K07016.01,Kepler-452 b,384.847556,0.012491,3.3828300000000002,1.09,0.994,220.0,0.56,298.1,1,5579.0,4.58,-0.22,0.798,0.892
8594,9674320,K07223.01,,317.062416,0.020361,2.93522,1.59,0.8404,218.0,0.54,249.9,1,5366.0,4.625,-0.4,0.715,0.793
4487,4762283,K07706.01,,42.049523793,0.022658,35.960840000000005,1.19,0.186,303.0,2.0,149.795299,1,4281.0,4.761,-1.18,0.48,0.485
4740,4940203,K07711.01,,302.779824,0.015016999999999999,0.55853,1.31,0.8412,246.0,0.87,139.36,1,5734.0,4.572,-0.38,0.797,0.865
7355,8364232,K07882.01,,65.415183,0.018514,6.20001,1.31,0.2732,295.0,1.79,111.9,1,4348.0,4.62,-0.12,0.646,0.636
7383,8555967,K07894.01,,347.97611,0.016926,0.65123,1.62,0.9577,253.0,0.97,160.9,1,5995.0,4.5360000000000005,-0.3,0.878,0.964
9180,9084569,K07923.01,,395.13138,0.010265,0.25538,0.97,1.0016,208.0,0.44,128.2,1,5060.0,4.493,0.32,0.869,0.856
9362,9650762,K07954.01,,372.15035,0.019653999999999998,0.31453000000000003,1.74,0.9758,232.0,0.69,132.1,1,5769.0,4.57,-0.32,0.812,0.9
9001,10331279,K08000.01,,225.48805,0.019944999999999997,0.05872,1.7,0.6861,267.0,1.2,54.0,1,5663.0,4.579,-0.38,0.782,0.847
9064,10452252,K08012.01,,34.573718512,0.017559,27.82477,0.42,0.1219,199.0,0.37,120.69486,1,3374.0,5.066,-0.36,0.218,0.202
9413,8873873,K08174.01,,295.06066,0.007668,0.59823,0.64,0.7735,233.0,0.7,140.2,1,5332.0,4.524,-0.48,0.762,0.708
